otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735705.664223611,114.103833333333,44.5145,2.76,1.89,,C,161555,0.13,1.3,3.3
735705.836129977,114.136166666667,44.53,3.31,2.27,,C,162003,0.15,1.1,3.1
735705.835570255,114.235166666667,44.564,0.07,0,,C,162003,0.12,1.6,2.3
735705.849775579,114.116166666667,44.4975,0.26,2.27,,C,162023,0.15,1.9,2.5
735705.881539236,114.1115,44.4916666666667,0.54,2.06,,C,162109,0.14,1.8,2.5
735705.932640509,114.0885,44.5056666666667,0.9,2.17,,C,162222,0.15,1.9,2.6
735705.940560301,114.105833333333,44.5211666666667,0.02,1.98,,C,162234,0.2,2.1,2.9
735705.960988773,114.104833333333,44.4933333333333,0.07,1.85,,C,162303,0.18,1.9,2.8
735706.032578588,114.119666666667,44.5101666666667,0.49,1.83,,C,170046,0.14,2.2,2.9
735706.113646296,114.265,44.5611666666667,0.16,2.31,,C,170243,0.2,2.2,3.2
735706.118106944,114.162666666667,44.5313333333333,0.62,2.07,,C,170249,0.17,1.9,2.8
735706.187980903,114.164833333333,44.532,3.96,1.74,,C,170430,0.1,0.9,3
735706.671015162,114.1815,44.5395,0.35,2.06,,C,171606,0.15,1.9,2.7
735706.742091088,114.216,44.5473333333333,0.05,1.78,,C,171748,0.1,1.8,2.5
735706.872309954,114.128666666667,44.513,0.02,2.3,,C,172055,0.15,1.8,2.5
735706.87445463,114.120333333333,44.5066666666667,0.1,2.24,,C,172058,0.14,2,2.8
735706.897683565,114.113166666667,44.497,0.62,2.01,,C,172132,0.19,2.2,2.9
735707.137747685,114.131666666667,44.5083333333333,0.08,1.8,,C,180318,0.14,2.1,2.7
735707.26096331,114.139666666667,44.5198333333333,0.02,2.31,,C,180615,0.18,2,2.7
735707.342367245,114.127833333333,44.5321666666667,0.08,1.27,,D,180812,0.21,3.2,3.8
735707.455712268,114.154,44.5255,0.04,1.68,,C,181056,0.17,2.1,2.7
735707.762962269,114.169666666667,44.5331666666667,0.16,1.59,,D,181818,0.18,3,3.7
735707.971876389,114.132333333333,44.5255,1.79,2.1,,C,182319,0.14,1.1,3.1
735708.560840625,114.1315,44.5008333333333,0.03,1.67,,C,191327,0.14,1.9,2.7
735708.781963079,114.278166666667,44.5841666666667,0.08,2.07,,C,191845,0.19,2.2,3.3
735708.877007523,114.2175,44.5873333333333,3.21,1.94,,C,192102,0.11,1.1,2.5
735708.921597685,114.149166666667,44.5488333333333,0.04,2.04,,C,192206,0.19,2.1,3
735709.341293982,114.1635,44.561,4.05,1.66,,C,200811,0.13,1.1,3.1
735709.345211343,114.147666666667,44.5091666666667,0.04,1.83,,C,200816,0.14,1.9,2.5
735709.397425116,114.164166666667,44.5588333333333,0.66,2.41,,C,200932,0.14,1.7,2.4
735709.790863426,114.130833333333,44.538,0.02,1.7,,C,201858,0.12,2,2.6
735710.911436343,114.211166666667,44.5755,0.76,2.05,,C,212152,0.18,1.6,2.9
735710.921113194,114.201166666667,44.5685,0.03,2.15,,C,212206,0.1,0.6,1.1
735711.075492245,114.234666666667,44.5716666666667,1.34,1.86,,D,220148,0.08,8.4,9.7
735711.238390046,114.211666666667,44.562,0.1,1.59,,C,220543,0.11,1,2.2
735711.509519213,114.208,44.5605,0.07,0,,B,221213,0.08,0.9,1.4
735711.550996991,114.220166666667,44.5755,3.53,2.02,,C,221313,0.12,2,2.6
735711.57092581,114.202666666667,44.5726666666667,0.44,0,,B,221341,0.11,0.6,1.1
735712.348060764,114.267666666667,44.589,5.53,2.18,,C,230821,0.05,0.8,0.4
735712.566775116,114.210166666667,44.5595,1.94,1.69,,C,231336,0.15,2,5.7
735712.628995602,114.219166666667,44.57,1.07,2.09,,C,231505,0.09,1.5,2.2
735712.913243171,114.259,44.5563333333333,4.17,2.18,,C,232154,0.07,1.3,0.8
735713.398102893,114.204666666667,44.5665,0.61,2.1,,B,240933,0.08,1,1.5
735713.44546412,112.802,44.3278333333333,7.78,1.49,,B,241041,0.11,0.4,1.6
735713.520836921,114.278166666667,44.5666666666667,5.56,1.92,,C,241229,0.05,0.8,0.4
735713.523108333,114.277,44.5676666666667,5.85,1.1,,C,241233,0.06,1.1,0.4
735713.531866088,114.276833333333,44.558,5.75,1.52,,C,241245,0.07,0.7,0.5
735714.04566713,114.274166666667,44.5543333333333,6.3,1.81,,C,250105,0.05,0.9,0.6
735714.154083218,114.285833333333,44.5616666666667,7.32,1.31,,C,250341,0.02,1.1,1.3
735714.187288194,114.275,44.5535,5.76,1.59,,C,250429,0.06,0.7,0.4
735714.201768171,114.2775,44.5666666666667,4.95,1.29,,C,250450,0.05,0.8,0.4
735714.375636806,114.264166666667,44.5506666666667,4.18,1.54,,C,250900,0.05,1.1,0.6
735716.324081597,114.286166666667,44.5528333333333,5.61,1.42,,C,270746,0.05,1.6,0.6
735716.518350694,114.2555,44.5823333333333,4.33,2.2,,C,271226,0.08,1.6,0.7
735717.018190625,114.245166666667,44.5583333333333,4.22,1.51,,B,280026,0.09,0.9,0.8
735717.19092581,114.263333333333,44.5641666666667,4.22,1.64,,C,280434,0.05,1.3,0.6
735717.725651157,114.258333333333,44.5503333333333,4.11,1.39,,C,281724,0.07,2.1,1.6
735718.808168518,114.259666666667,44.5523333333333,3.87,1.31,,C,291923,0.07,1.1,0.7
735718.841071181,114.254333333333,44.5606666666667,4.42,2.54,,C,292010,0.09,1,0.7
735718.893000694,114.251833333333,44.5566666666667,3.95,1.72,,C,292124,0.1,1.1,1
735719.354051736,114.242666666667,44.5485,1.32,0,,D,300829,0.06,3.3,3.1
735719.476881597,114.668333333333,44.5995,4.53,1.85,,C,301126,0.03,0.9,0.7
