otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
736942.597117361,111.504333333333,42.5641666666667,2.22,1.44,,D,41419,0.04,1.1,13.1
736942.599834028,111.0485,43.031,23.62,0.85,,D,41423,0.2,12,17.4
736942.606149074,111.492666666667,42.671,4.97,1.48,,D,41432,0.12,1.4,12.5
736942.614969444,111.5075,42.6328333333333,5.02,1.5,,D,41444,0.06,2.8,12.7
736942.620686227,111.097166666667,42.9493333333333,31.46,1.13,,D,41453,0.05,11.4,6.8
736942.626286111,111.075166666667,42.9171666666667,33.45,1.1,,D,41501,0.24,21.1,10.3
736942.629834028,111.464666666667,42.6038333333333,5.04,0.94,,D,41506,0.16,3.6,17.5
736942.631828009,111.033833333333,42.9741666666667,34.79,0.9,,D,41509,0.09,12.1,8.4
736942.636252315,111.026666666667,42.9346666666667,37.59,1.17,,D,41516,0.14,15.1,8.1
736942.638619097,111.494333333333,42.634,9.6,1.53,,D,41519,0.07,3.3,10.4
736942.639967477,111.510833333333,42.6336666666667,5.04,0,,D,41521,0.07,1.5,13.2
736942.642028819,111.650833333333,42.501,10.7,1.9,,D,41524,0.03,1.3,5.4
736942.647012963,111.4305,42.5748333333333,9.71,1.11,,D,41531,0.04,3.2,12.6
736942.652432292,111.5135,42.6351666666667,5.19,1.55,,D,41539,0.02,1.4,12.5
736942.654309607,111.042,43.0473333333333,24.48,1.23,,D,41542,0.18,11.1,16.3
736942.668056134,111.460333333333,42.6126666666667,9.12,1.2,,D,41601,0.05,3.2,12.9
736942.668865162,111.446,42.5931666666667,5.03,1.85,,D,41602,0.08,1.9,12.9
736942.676089236,111.505,42.64,5.89,1.82,,D,41613,0.1,2.1,13.6
736942.686713426,111.466833333333,42.5735,5.11,2.13,,D,41628,0.06,1.1,6.8
736942.688252315,111.015833333333,43.0656666666667,5.51,1.58,,D,41630,0.01,1.5,12.4
736942.693569329,111.514166666667,42.6921666666667,5.01,1.92,,D,41638,0.05,1.7,12.3
736942.707578009,111.4575,42.5933333333333,12.64,1.29,,D,41658,0.1,3.8,10.1
736942.716452662,110.9775,43.0825,5.64,1.04,,D,41711,0.04,1.5,12.9
736942.730824653,110.954833333333,43.0931666666667,5.93,1.23,,D,41732,0.17,2.2,18.8
736942.742629977,111.462166666667,42.6046666666667,5.02,1.16,,D,41749,0.11,1.1,14.9
736942.749556366,111.474833333333,42.5556666666667,5.06,0,,D,41759,0.1,2.6,14.8
736942.757737037,111.030833333333,42.9923333333333,32.48,1.37,,D,41810,0.16,13.9,11.4
736942.782154745,111.494333333333,42.6381666666667,8.17,1.67,,D,41845,0.06,2.6,10.7
736942.784256481,111.496,42.6173333333333,7.73,2.38,,D,41849,0.13,3.1,14.2
736942.786583102,111.079166666667,42.9936666666667,5.07,1.44,,D,41852,0.22,1.7,18.9
736942.78908831,111.512,42.6253333333333,3.7,1.66,,D,41855,0.06,1.7,13.2
736942.794986574,111.655,42.4536666666667,3.32,0,,D,41904,0.07,1.3,13.7
736942.841947569,111.462333333333,42.5938333333333,10.93,0,,B,42012,0.09,0.6,1.8
736942.845476736,111.463333333333,42.5596666666667,3.1,2.55,,D,42017,0.07,1.9,13.6
736942.847099653,111.453166666667,42.5423333333333,5.03,1.98,,D,42019,0.18,1.9,17.4
736942.856184144,111.451333333333,42.557,4.91,2.24,,D,42032,0.05,1.3,12.8
736942.857848727,110.936833333333,43.0751666666667,7.45,2.01,,D,42035,0.11,2.5,15.5
736942.861362153,111.445833333333,42.5513333333333,4.98,1.7,,D,42040,0.14,1,14.5
736942.862044097,111.472666666667,42.61,4.86,2.09,,D,42040,0.07,1.9,7.3
736942.865928472,111.453666666667,42.5966666666667,6.16,2.13,,C,42046,0.03,1.6,3.1
736942.869200694,111.459,42.5835,6.97,0,,C,42051,0.15,0.5,2.3
736942.870869676,111.273833333333,42.7131666666667,36.75,0.93,,D,42053,0.01,11.7,4.5
736942.873955208,111.438666666667,42.5536666666667,5.2,0.79,,D,42058,0.16,2,16.6
736942.87778669,111.453666666667,42.5381666666667,4.99,0.91,,D,42103,0.14,1.4,15.6
736942.878525,111.449666666667,42.594,12.07,1.31,,D,42104,0.03,3,9.3
736942.87967419,111.439666666667,42.5451666666667,5.03,1.01,,D,42106,0.19,2,18.1
736942.882578241,111.455833333333,42.5303333333333,3.59,0,,D,42110,0.11,1.2,11.6
736942.885326157,110.958166666667,43.072,7.55,1.49,,D,42114,0.13,2.9,16.4
736942.886694792,111.387,42.5998333333333,2.62,0,,D,42116,0.18,1.8,17.9
736942.891339005,111.431333333333,42.5656666666667,5.04,1.13,,D,42122,0.08,1.5,14.2
736942.892621412,111.3935,42.5793333333333,17.49,1.87,,D,42122,0.14,3.5,14.3
736942.899383796,111.384666666667,42.557,4.78,1.79,,D,42134,0.2,2.4,19.4
736942.900973264,111.416833333333,42.5696666666667,9.6,1.26,,D,42137,0.07,3.4,13.5
736942.905128357,111.3965,42.5578333333333,4.81,1.35,,D,42143,0.1,1.4,14.5
736942.906599769,111.361333333333,42.494,5.07,1.09,,D,42145,0.2,4.1,20.8
736942.912231019,111.436166666667,42.5631666666667,9.72,1.72,,D,42153,0.09,3,11.5
736942.915181366,111.449333333333,42.5521666666667,5.12,2.24,,D,42157,0.08,1.1,11.3
736942.919221643,111.415,42.5131666666667,5.01,1.45,,D,42203,0.22,1.6,18.3
736942.922469097,111.0305,42.9625,31.48,0.99,,D,42208,0.06,10.9,8.2
736942.923264699,111.436833333333,42.588,11.58,1.62,,D,42209,0.07,3.2,10.4
736942.92762419,111.439166666667,42.5795,4.89,0,,C,42212,0.04,0.8,10.3
736942.931089699,111.431333333333,42.5573333333333,9.88,0,,C,42220,0.08,0.9,2.8
736942.934953704,111.44,42.5506666666667,5.02,2.45,,D,42224,0.08,1.2,13.4
736942.940528009,111.441333333333,42.5943333333333,10.08,0,,D,42234,0.13,3.7,12.6
736942.941411343,111.437333333333,42.5593333333333,8.95,0,,D,42235,0.07,2.7,11.6
736942.954498611,111.435,42.5093333333333,4.94,2.09,,D,42250,0.14,1.2,15.7
736942.959373611,111.448,42.5485,5.02,0,,D,42300,0.09,3.2,13.9
736942.968584144,111.443166666667,42.5505,5.97,0,,C,42313,0.09,0.8,2.9
736942.976273264,111.457666666667,42.5468333333333,5.01,1.96,,D,42325,0.01,2.5,12.2
736942.977486806,111.436166666667,42.5463333333333,5,0.93,,D,42327,0.2,1.6,19
736942.97848588,111.430166666667,42.5653333333333,11.55,2.49,,C,42328,0.08,0.9,1.1
736942.98087581,111.325666666667,42.5011666666667,5.17,1.69,,D,42332,0.1,2.6,14.6
736942.981876736,111.398333333333,42.522,5.04,1.61,,D,42333,0.06,1.2,13.2
736942.982874306,110.9225,43.0676666666667,7.35,1.08,,D,42335,0.11,2.5,15.3
736942.98540544,111.388,42.5998333333333,5.75,1.04,,D,42338,0.1,2.2,13.5
736942.986061111,111.416833333333,42.5515,5.01,1.82,,D,42339,0.04,0.8,10.9
736942.987203588,110.901,43.0343333333333,4.97,1.47,,D,42341,0.09,1.4,14
736942.989133102,111.401666666667,42.5168333333333,5.69,1.59,,D,42344,0.11,1.8,14.7
736943.001180671,111.4015,42.5738333333333,4.79,1.58,,D,50001,0.14,1.7,15.5
736943.005683449,111.413833333333,42.5213333333333,3.16,2.42,,D,50006,0.1,1.2,13.5
736943.014515162,111.456666666667,42.526,4.99,2.29,,D,50020,0.12,1.4,14.6
736943.017569907,111.417333333333,42.5365,12.82,0,,C,50024,0.17,1.1,1.2
736943.024089583,111.455166666667,42.569,2.96,0,,D,50034,0.08,1.3,14
736943.04440081,110.991333333333,43.0585,7.21,1.62,,D,50103,0.02,2.2,12.4
736943.0526375,111.4515,42.658,14.92,1.07,,D,50115,0.01,3.5,7.2
736943.054902431,111.450166666667,42.602,2.91,1.72,,D,50118,0.03,1.8,12.6
736943.056761574,111.4335,42.5788333333333,10.92,1.15,,D,50121,0.05,3.2,10
736943.057623264,111.419666666667,42.5105,5,1.44,,D,50122,0.16,1.7,18.1
736943.060422917,111.446666666667,42.569,8.18,1.15,,D,50126,0.05,2.5,11.6
736943.062813079,111.464833333333,42.5656666666667,7.85,1.56,,D,50130,0.06,2.3,13.1
736943.064346644,111.439833333333,42.555,5.72,0,,C,50132,0.06,1.1,2.1
736943.071419444,110.926833333333,43.0545,5.82,1.66,,D,50142,0.11,1.8,15.4
736943.087251273,111.453,42.5595,7.93,0,,C,50204,0.1,1.3,3.5
736943.095617245,110.9505,43.0843333333333,7.01,1.88,,D,50217,0.15,2.6,17.6
736943.101612963,111.449,42.5971666666667,9.64,1.5,,D,50226,0.11,3.2,11.6
736943.103151968,111.412333333333,42.5331666666667,13.86,2.84,,C,50228,0.07,0.9,0.8
736943.104910995,111.446333333333,42.5938333333333,4.89,1.18,,D,50230,0,2.2,11.9
736943.107443287,111.391333333333,42.5576666666667,4.29,1.06,,D,50234,0.1,1.7,15.2
736943.108006366,110.9515,43.065,7.54,1.37,,D,50235,0.06,2.3,13.4
736943.110207639,111.458833333333,42.5615,4.94,1.45,,D,50238,0.1,1.2,13.5
736943.12459294,110.905166666667,43.0481666666667,6.22,1.23,,D,50259,0.03,1.7,12.6
736943.126407407,111.430166666667,42.5268333333333,5.04,1.77,,D,50300,0.11,1.4,15
736943.132010764,110.963666666667,43.0681666666667,5.22,1.22,,D,50309,0.06,1.5,13.3
736943.133441319,111.429333333333,42.5681666666667,5,0,,C,50311,0.13,1.3,14
736943.139706366,111.447,42.583,10.94,0,,B,50320,0.07,0.5,0.9
736943.150239468,110.963666666667,43.0718333333333,6.83,1.44,,D,50336,0.14,2.6,17
736943.151982407,111.433,42.5595,2.95,0,,D,50338,0.08,1.3,14
