otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
736952.973393403,-111.465333333333,42.6033333333333,5,0,,C,201084,1.73,4.8,99,4.707
736952.9862875,-110.897166666667,42.2236666666667,39.03,0,,D,201085,0.13,1.3,16.3,35.335
736953.016592477,-111.4375,42.5718333333333,5,0,,C,201086,0.18,1,19.5,4.701
736953.017595602,-111.492166666667,42.6495,5,0,,D,201087,1.33,11,99,4.708
736953.02012581,-110.817666666667,42.1643333333333,5,0,,D,201088,0.69,4.9,58.6,4.708
736953.023450694,-111.487333333333,42.5328333333333,5,0,,C,201089,0.23,0.8,22.7,4.703
736953.026510648,-111.436666666667,42.5071666666667,5,0,,C,201090,0.2,0.7,21.2,4.707
736953.036602546,-111.371,42.5776666666667,5,0,,C,201091,0.21,0.7,21.4,4.707
736953.037135995,-111.525166666667,42.4945,5,0,,D,201092,0.33,3.3,30.6,4.712
736953.039711343,-111.4605,42.4958333333333,5,0,,D,201093,0.39,1.7,35,4.711
736953.044525463,-111.431833333333,42.5118333333333,5,0,,C,201094,0.23,0.7,22.9,4.707
736953.050682523,-112.577333333333,42.1391666666667,5,0,,D,201095,3.09,22.6,99,4.705
736953.054746528,-111.439666666667,42.5365,5,0,,C,201096,0.21,1.1,21.4,4.711
736953.054989699,-111.420833333333,42.5358333333333,5,0,,D,201097,4.39,18.2,99,4.712
736953.065743403,-111.400833333333,42.5416666666667,5,0,,C,201098,0.19,0.9,20.3,4.712
736953.067116435,-111.394166666667,42.5251666666667,5,0,,C,201099,0.33,1.3,29.9,4.711
736953.067456366,-111.369333333333,42.5811666666667,5,0,,C,201100,0.29,1.3,27.3,4.707
736953.090126389,-111.414333333333,42.511,5,0,,C,201101,0.29,1.2,27,4.711
736953.098674421,-111.431166666667,42.5371666666667,5,0,,C,201102,0.28,0.9,26.8,4.711
736953.103071412,-111.398666666667,42.5241666666667,5,0,,C,201103,0.24,1.1,23.4,4.707
736953.108196296,-111.4815,42.5623333333333,5,0,,C,201104,0.31,0.9,28.7,4.703
736953.112491435,-111.3605,42.5623333333333,5,0,,C,201105,0.35,1.1,31.8,4.711
736953.114827431,-111.525333333333,42.5238333333333,5,0,,D,201106,0.24,1,23.7,4.707
736953.124341435,-111.3685,42.5538333333333,5,0,,C,201107,0.29,1.2,27.1,4.711
736953.124973264,-111.450166666667,42.56,5,0,,C,201108,0.08,0.6,14.4,4.706
736953.129164815,-111.437333333333,42.5113333333333,5,0,,C,201109,0.21,0.8,21.2,4.707
736953.140062037,-111.387166666667,42.6011666666667,5,0,,C,201110,0.37,0.8,33.1,4.711
736953.149962384,-111.414166666667,42.5548333333333,5,0,,C,201111,0.1,0.7,15.1,4.706
736953.159079745,-111.523833333333,42.544,5,0,,D,201112,0.29,0.9,26.9,4.711
736953.159343403,-111.381166666667,42.5935,5,0,,C,201113,0.33,1.1,30,4.711
736953.16791331,-111.4475,42.5858333333333,5,0,,C,201114,0.43,1.6,37.8,4.711
736953.170391667,-111.5705,42.5,5,0,,D,201115,0.1,1.5,14.9,4.708
736953.171282523,-111.432,42.5358333333333,5,0,,C,201116,0.26,0.7,24.9,4.711
