otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735969.900720255 -114.0815 44.5223333333333 6.62 0 C 200196 0.05 2.1 0.9 6.124
735969.926233333 -114.051 44.5201666666667 5 0 D 200197 10.73 87.9 99 4.689
735970.00452581 -114.0515 44.4198333333333 5 0 D 200198 0.12 1.9 16.1 4.722
735970.023629977 -114.026 44.4346666666667 8.37 0 D 200199 0.54 2.3 3.2 7.765
735970.082403125 -114.005833333333 44.3778333333333 5 0 D 200200 0.08 3.4 14.1 4.722
735970.082398148 -114.025 44.4333333333333 5 0 D 200201 0.1 1.2 14.8 4.655
735970.082988426 -112.102833333333 44.2616666666667 5 0 D 200202 2.43 18.3 99 4.694
735970.14235463 -113.949333333333 44.4636666666667 5 0 D 200203 0.24 5.4 23.5 4.727
735970.142335995 -114.115666666667 44.4231666666667 3.74 0 D 200204 0.3 1.8 3.3 3.588
735970.248292477 -114.126166666667 44.4473333333333 5 0 D 200205 0.34 2.6 30.7 4.752
735970.249217593 -114.001333333333 44.4281666666667 5 0 D 200206 0.14 1.6 17.3 4.722
735970.274142593 -114.106166666667 44.4281666666667 5 0 D 200207 0.11 2.1 15.3 4.752
735970.279369213 -113.947 44.4741666666667 5 0 D 200208 0.15 2.6 17.9 4.725
735970.279356829 -114.106166666667 44.393 10.61 0 C 200209 0.1 1.2 2 9.75
735970.301089699 -113.997333333333 44.428 5 0 D 200210 0.17 2.2 18.8 4.722
735970.357024074 -114.0165 44.4433333333333 5 0 D 200211 0.04 2 12.9 4.752
735970.452228009 -111.0905 44.843 4.66 0 D 200212 0.12 15.5 12.2 4.349
735970.475845139 -114.082333333333 44.396 5 0 D 200213 0.09 1.8 14.7 4.718
735970.509942708 -114.016333333333 44.4181666666667 5 0 D 200214 0.01 1.7 12.5 4.722
735970.509927778 -114.131666666667 44.434 5 0 D 200215 0.09 1.6 14.4 4.701
735970.533510532 -114.146166666667 44.425 5.8 0 D 200216 0.41 2.7 4.1 5.421
735970.645595255 -114.025333333333 44.4166666666667 5 0 D 200217 0.06 1.4 13.4 4.722
735970.645583449 -114.156833333333 44.4436666666667 5 0 D 200218 0.36 2.4 32.4 4.752
735970.693666551 -114.028833333333 44.4088333333333 5 0 D 200219 0.07 1.1 13.8 4.718
735970.727815972 -113.711 44.464 5 0 D 200220 0.2 2.4 20.7 4.722
735970.739270949 -114.1685 44.4726666666667 5 0 D 200221 0.27 2.1 25.4 4.735
735970.739303819 -113.943666666667 44.444 4.68 0 C 200222 0.1 2.3 1.4 4.38
735970.753611921 -113.976166666667 44.4945 5 0 D 200223 0.04 2.9 12.9 4.732
735970.908063773 -114.073166666667 44.589 5 0 D 200224 0.47 4.6 40.9 4.718
735970.908062731 -114.114666666667 44.6198333333333 5 0 D 200225 0.04 2.4 13 4.657
735970.917215278 -114.008166666667 44.4348333333333 4.8 0 C 200226 0.22 1.4 2.8 4.544
735970.985119907 -114.022166666667 44.418 5 0 D 200227 0.11 1 15.4 4.722
735971.018020486 -113.265166666667 44.383 5 0 D 200228 3.11 9.4 99 4.696
735971.082086343 -114.041333333333 44.43 5 0 D 200229 0.32 1.8 29.4 4.722
735971.096458796 -114.080333333333 44.4093333333333 5 0 D 200230 0.07 1.9 13.9 4.735
735971.113337731 -114.014666666667 44.421 5 0 D 200231 0.04 2.3 12.9 4.718
735971.189086111 -114.0775 44.476 5 0 D 200232 0.11 2.4 15.7 4.689
735971.231540625 -113.998833333333 44.4801666666667 5 0 D 200233 0.13 3.5 16.7 4.732
735971.247356134 -114.105 44.4548333333333 5 0 D 200234 0.25 3.1 24.5 4.718
735971.262913889 -114.123166666667 44.4061666666667 5 0 D 200235 0.04 1.8 13 4.689
735971.293452431 -114.038666666667 44.375 5 0 D 200236 0.2 2.4 20.7 4.718
735971.329903241 -114.203666666667 44.503 7.25 0 C 200237 0 1.9 1.8 6.757
735971.363929514 -114.109833333333 44.4551666666667 2.36 0 C 200238 0.29 2 3.9 2.32
735971.420863773 -114.051833333333 44.4653333333333 6.08 0 C 200239 0.04 1.3 0.7 5.639
735971.448712963 -114.203 44.563 5 0 D 200240 0.09 1.4 14.6 4.718
735971.449520602 -114.113666666667 44.5741666666667 0.02 0 D 200241 0.12 5 3.6 0.185
735971.450537616 -114.031333333333 44.4461666666667 5 0 D 200242 0.21 2.1 21.7 4.732
735971.540871991 -113.8525 44.4933333333333 7.92 0 D 200243 0.04 8.6 9.7 7.295
735971.542583218 -113.622833333333 44.4368333333333 5 0 D 200244 0.05 8.5 13.2 4.71
735971.560543866 -114.105666666667 44.4165 5 0 D 200245 0.11 1.9 15.6 4.718
735971.584153588 -114.079166666667 44.4596666666667 5 0 D 200246 0.53 6.4 45.5 4.718
735971.592930093 -113.239 44.575 5 0 D 200247 1.19 4.1 99 4.663
735971.665754398 -114.087833333333 44.4625 9.5 0 D 200248 0.01 3.2 1.6 8.705
735971.691164236 -114.080833333333 44.4525 5 0 D 200249 0.11 2.5 15.4 4.689
735971.733342708 -114.101333333333 44.4665 5 0 D 200250 0.26 8.1 25.4 4.71
735971.733363657 -114.031 44.477 7.24 0 C 200251 0.04 2.3 1.4 6.671
735971.757411458 -114.125166666667 44.4295 5 0 D 200252 0.01 4.3 12.5 4.689
735971.770352199 -114.109333333333 44.4466666666667 5 0 D 200253 0.04 2 13 4.71
735971.831676505 -111.501 45.3826666666667 5 0 D 200254 0.09 1.7 14.5 4.687
735971.939138194 -111.530666666667 46.135 0.03 0 D 200255 0.17 3.1 3.6 0.244
735971.94116794 -114.131 44.4195 5 0 D 200256 0.11 2.4 15.6 4.71
735971.941198032 -113.985 44.5125 5 0 D 200257 0.96 6.9 81.1 4.722
735971.956677778 -114.158166666667 44.4065 5 0 D 200258 0.02 2.8 12.6 4.71
735971.956676736 -114.370833333333 44.2716666666667 36.49 0 D 200259 0.28 5.2 26.6 33.008
